Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy
1,0.0,27056358.52906863,5077578.71100047,5000001,98.44844609030137
2,2074591.448993529,10002708.14499112,5728381.391984338,5000001,85.43239507383421
3,2080162.9946918252,13371285.999502318,3549257.3987751873,5000001,70.98513377847699
5,3115317.1216338957,14759744.418566827,4508818.339033714,5000001,90.17634874540452
6,3318634.514922389,13828414.76623598,6332037.566463614,5000001,73.35927399887292
8,3156431.9154104427,7951044.288245347,4783123.091982888,5000001,95.66244270716922
10,2706774.5131618464,7038604.738987441,5458372.113033406,5000001,90.83257957281596
12,2927305.6156607466,8768314.522284202,4360619.087305611,5000001,87.21236430363936
15,3736793.404255028,7792258.574372713,5394965.056392906,5000001,92.10072045199779
17,4669702.838647727,7264831.204367125,5102534.494213101,5000001,97.94933052587187
20,3473445.810056254,8367445.976131505,4865731.218849273,5000001,97.31460491406449
24,3742240.0850510704,5905353.963139705,4854975.687332142,5000001,97.09949432674398
27,3237501.6068424177,8389077.281059055,4597174.95360432,5000001,91.94348068339026
31,3783816.978772644,5669943.064092917,4616974.890345136,5000001,92.33947933900684
35,3511804.098695964,6014494.007370619,4869604.164064519,5000001,97.39206380287763
40,3975939.3105276753,6133371.365886894,4693520.773453614,5000001,93.87039669499293
45,3880872.7338358136,6095392.531403975,5094958.408061355,5000001,98.10085221860245
51,3842477.293423467,7175541.485696286,4858981.818708349,5000001,97.1796169382436
57,3725875.7856722632,6549335.413866257,5007108.8731689695,5000001,99.8578425650521
64,4216665.210065462,5854915.570229383,5184567.417227089,5000001,96.30867239372374
71,3994542.760225191,6112162.007048089,5045664.504055226,5000001,99.08673010154946
79,4052891.2266552667,5520401.676694722,4904438.134088984,5000001,98.08874306403106
88,4297206.016125487,5402511.034182845,4906551.962785497,5000001,98.13101962950603
98,4075277.5577137894,6177678.653313238,5237758.011402326,5000001,95.24486072298134
108,4487713.445162606,5620511.103536103,4883619.306154052,5000001,97.67236658860772
120,4051772.654897398,5760738.177145235,4754012.652121334,5000001,95.08023402637988
132,4238558.111988036,6363325.9463259075,4688199.13991658,5000001,93.7639640455388
146,4491573.696341071,5417056.688045263,5099135.157836889,5000001,98.01731723979877
161,4451260.793220109,5857786.492268107,5132137.882026425,5000001,97.35726288801892
177,4454841.338312129,5130977.329979455,4883180.37268389,5000001,97.66358792096021
194,4428737.450159781,4973032.47333607,4823291.44066213,5000001,96.4658095200807
213,4579788.595770869,5384759.943635541,4803206.273639437,5000001,96.06410625996749
233,4258280.743733293,5438236.239243649,4909684.7406975385,5000001,98.19367517521573
256,4582198.449110162,5376362.179669787,5055463.211394129,5000001,98.89075599396622
280,4328526.731301299,5475921.591085307,4770089.513870914,5000001,95.40177119706404
306,4426086.116692951,5697554.173575171,5038775.287077317,5000001,99.22451441355078
334,4732826.039289535,5451444.445670392,5012872.251046527,5000001,99.74257503055445
365,4669537.131425724,5338162.9414423015,4815061.062019559,5000001,96.30120198015078
398,4533734.381752739,5305165.929671891,4902677.561757747,5000001,98.05353162444862
434,4530698.158407922,5372430.969730566,5012524.908794926,5000001,99.74952187419711
473,4563455.878385315,5232068.352083765,4932146.679137168,5000001,98.6429138541606
515,4539016.303189737,5273311.325462603,4998584.350834095,5000001,99.9716670223485
561,4683063.775831409,5263320.405153894,5015797.993761953,5000001,99.68406018794892
610,4682264.817603754,5280914.644922395,4899212.464386299,5000001,97.98422969088004
663,4706131.447005792,5300244.124939443,4878027.159288847,5000001,97.56052367367221
720,4620870.354000718,5413071.820635293,4975231.333517078,5000001,99.5046067694202
782,4606996.729418342,5632625.499512977,4964547.941266319,5000001,99.29093896713859
850,4750691.0285852235,5286596.559965473,4985838.531969311,5000001,99.71675069603607
922,4597890.483309408,5150539.769639745,4920984.469611717,5000001,98.4196697083004
1000,4830541.860585122,5181479.03608072,4982435.619763354,5000001,99.64869246552858
